ITEM|COMPONENT|CLASS|QUANTITY
 1T098L/14K    |14KB-2         |WP|  6.310
050DT/10K      |10KB-8         |WP|  0.850
050DT/10K      |P.02           |WP|  1.000
050DT/10K      |TIETAC-BACK    |RM|  1.000
050DT/10K      |TIETAC-BOX     |RM|  1.000
050DT/10K      |TIETAC-POST    |RM|  1.000
050DT/10KB     |10KB-8         |WP|  0.850
050DT/10KB     |P.02           |WP|  1.000
050DT/10KB     |TIETAC-BACK    |RM|  1.000
050DT/10KB     |TIETAC-POST    |RM|  1.000
1/GF           |BEZEL          |RM|  1.000
1/GF           |ENGR-LOCK3     |RM|  1.000
1/GF           |GF-0.36X69.85  |RM|  0.120
1/GF           |GF-RIBBON      |RM|  1.000
1/GF           |GF1-6          |RM|  1.000
1/GF           |LOCKET-BOX     |RM|  1.000
1/GF           |LOCKET-PAD     |RM|  1.000
1/GF           |RHODIUM        |RM|  1.000
1/GFB          |BEZEL          |RM|  1.000
1/GFB          |ENGR-LOCK3     |RM|  1.000
1/GFB          |GF-0.36X69.85  |RM|  0.120
1/GFB          |GF1-6          |RM|  1.000
1/GFB          |RHODIUM        |RM|  1.000
1/STER         |BEZEL          |RM|  1.000
1/STER         |ENGR-LOCK3     |RM|  1.000
1/STER         |LOCKET-BOX     |RM|  1.000
1/STER         |LOCKET-PAD     |RM|  1.000
1/STER         |RHODIUM        |RM|  1.000
1/STER         |ST1-6          |RM|  1.000
1/STER         |STE-76.2X0.36  |RM|  0.160
1/STERB        |BEZEL          |RM|  1.000
1/STERB        |ENGR-LOCK3     |RM|  1.000
1/STERB        |RHODIUM        |RM|  1.000
1/STERB        |ST1-6          |RM|  1.000
1/STERB        |STE-76.2X0.36  |RM|  0.160
100/10K        |10K-RIBBON     |RM|  1.000
100/10K        |10KB-1.91X1.91 |RM|  1.290
100/10K        |LOCKET-BOX     |RM|  1.000
100/10K        |LOCKET-PAD     |RM|  1.000
100/10KB       |10KB-1.91X1.91 |RM|  1.210
100/14K        |14KB-8         |WP|  1.210
100/14K        |LOCKET-BOX     |RM|  1.000
100/14K        |LOCKET-PAD     |RM|  1.000
100/14KB       |14KB-8         |WP|  1.210
100/GF         |ENGR-CROSS5    |RM|  1.000
100/GF         |GF-0.36X69.85  |RM|  0.080
100/GF         |GF-1.91X1.91   |RM|  2.070
100/GF         |LOCKET-BOX     |RM|  1.000
100/GF         |LOCKET-PAD     |RM|  1.000
100/GF         |RHODIUM        |RM|  1.000
100/GFB        |ENGR-CROSS5    |RM|  1.000
