Account,Type,Period,Journal,Source,Description,Amount
100,3,20250228,,,RWARD               0000394425,
100,3,20250331,JE,J-2433,FOR MARCH          0000025675,
100,3,20250430,JE,J-2436,FOR APRIL 2025     000023816u,
100,3,20250531,JE,J-2439,FOR MAY 2025       000003855u,
100,3,20250630,JE,J-2442,FOR JUNE 2025      000002288t,
100,3,20250731,JE,J-2445,FOR JULY 2025      0000115480,
100,3,20250831,JE,J2448,FOR AUGUST         0002410842,
100,3,20250930,JE,J-2451,SEPTEMBER          000010535u,
100,3,20251031,JE,J-2454,FOR OCTOBER 2025   000151894x,
100,3,20251130,JE,J-2457,FOR NOVEMBER 2025  000007883u,
100,3,20251231,JE,J2460,FOR DECEMBER 2025  000014577p,
100,3,20260131,JE,J-2463,FOR JANUARY 2026   000002687u,
110,3,20250228,,,RWARD               0001777593,
110,3,20250331,CR,TOTAL*,PTS JOURNAL         0008843189,
110,3,20250331,DB,TOTAL*,NTS JOURNAL         000298353t,
110,3,20250331,JE,J-2434,R MARCH 2025        000279038p,
110,3,20250430,CR,TOTAL*,PTS JOURNAL         0008037652,
110,3,20250430,DB,TOTAL*,NTS JOURNAL         000383926y,
110,3,20250430,JE,J-2437,R APRIL 2025        000326712s,
110,3,20250430,JE,J21094,FOR WEEEK 4        000054966s,
110,3,20250430,JE,J21095,ACCR.AMT.APRIL     0000184711,
110,3,20250531,CR,TOTAL*,PTS JOURNAL         0007492147,
110,3,20250531,DB,TOTAL*,NTS JOURNAL         000774904u,
110,3,20250531,JE,J-2440,R MAY 2025          000270521s,
110,3,20250630,CR,TOTAL*,PTS JOURNAL         0017922028,
110,3,20250630,DB,TOTAL*,NTS JOURNAL         000616946u,
110,3,20250630,JE,J-2443,R JUNE 2025         000378135u,
110,3,20250731,CR,TOTAL*,PTS JOURNAL         0015030212,
110,3,20250731,DB,TOTAL*,NTS JOURNAL         000743075s,
110,3,20250731,JE,J-2446,R JULY 2025         000314961t,
110,3,20250831,CR,TOTAL*,PTS JOURNAL         0013014213,
110,3,20250831,DB,TOTAL*,NTS JOURNAL         001413931r,
110,3,20250831,JE,J-2449,R AUGUST 2025       000243296w,
110,3,20250930,CR,TOTAL*,PTS JOURNAL         0006941473,
110,3,20250930,DB,TOTAL*,NTS JOURNAL         000765758p,
110,3,20250930,JE,J2452,R SEPTEMBER 2025    000270899t,
110,3,20251031,CR,TOTAL*,PTS JOURNAL         0004694535,
110,3,20251031,DB,TOTAL*,NTS JOURNAL         000759905q,
110,3,20251031,JE,J2455,R OCTOBER 2025      000358721x,
110,3,20251130,CR,TOTAL*,PTS JOURNAL         0009719675,
110,3,20251130,DB,TOTAL*,NTS JOURNAL         000338249w,
110,3,20251130,JE,J-2458,R NOVEMBER 2025     000311476u,
110,3,20251231,CR,TOTAL*,PTS JOURNAL         0016245693,
110,3,20251231,DB,TOTAL*,NTS JOURNAL         000430764u,
110,3,20251231,JE,J2461,R DECEMBER 2025     000406298v,
110,3,20260131,CR,TOTAL*,PTS JOURNAL         0006729056,
110,3,20260131,DB,TOTAL*,NTS JOURNAL         000364110v,
110,3,20260131,JE,J-2464,R JANUARY 2026      000252136t,
110,3,20260228,CR,TOTAL*,PTS JOURNAL         0003947432,
110,3,20260228,DB,TOTAL*,NTS JOURNAL         000301273u,
120,3,20250228,,,RWARD               0008200334,
120,3,20250331,CR,TOTAL*,PTS JOURNAL         000841647q,
120,3,20250331,SC,*TOTAL,ICE CHARGES         0000003696,
120,3,20250331,SJ,TOTAL*,NAL                 0011430429,
120,3,20250430,CR,TOTAL*,PTS JOURNAL         000788533q,
120,3,20250430,JE,J-2436,FOR APRIL 2025     000000400p,
120,3,20250430,SC,*TOTAL,ICE CHARGES         0000005226,
120,3,20250430,SJ,TOTAL*,NAL                 0009991153,
120,3,20250531,CR,TOTAL*,PTS JOURNAL         000682328p,
120,3,20250531,JE,J-2439,FOR MAY 2025       000006690p,
120,3,20250531,SC,*TOTAL,ICE CHARGES         0000006984,
120,3,20250531,SJ,TOTAL*,NAL                 0014054483,
120,3,20250630,CR,TOTAL*,PTS JOURNAL         001869571t,
120,3,20250630,JE,J-2442,FOR JUNE 2025      000003210p,
120,3,20250630,SC,*TOTAL,ICE CHARGES         0000007552,
120,3,20250630,SJ,TOTAL*,NAL                 0015880137,
120,3,20250731,CR,TOTAL*,PTS JOURNAL         001484682w,
120,3,20250731,JE,J-2445,FOR JULY 2025      000008400p,
120,3,20250731,SC,*TOTAL,ICE CHARGES         0000011047,
120,3,20250731,SJ,TOTAL*,NAL                 0005927806,
120,3,20250831,CR,TOTAL*,PTS JOURNAL         001341382y,
120,3,20250831,JE,J-2447,C                   000000257v,
120,3,20250831,JE,J2448,FOR AUGUST         000239634w,
120,3,20250831,SC,*TOTAL,ICE CHARGES         0000015002,
120,3,20250831,SJ,TOTAL*,NAL                 0014657615,
120,3,20250930,CR,TOTAL*,PTS JOURNAL         000510986x,
120,3,20250930,JE,J-2451,SEPTEMBER          000006515p,
120,3,20250930,JE,J2450,C                   000000114x,
120,3,20250930,SC,*TOTAL,ICE CHARGES         0000013669,
120,3,20250930,SJ,TOTAL*,NAL                 0005157219,
120,3,20251031,CR,TOTAL*,PTS JOURNAL         000459100x,
120,3,20251031,JE,J-2454,FOR OCTOBER 2025   000058057r,
120,3,20251031,SC,*TOTAL,ICE CHARGES         0000020221,
120,3,20251031,SJ,TOTAL*,NAL                 0009497098,
120,3,20251130,CR,TOTAL*,PTS JOURNAL         000967810t,
120,3,20251130,JE,J-2457,FOR NOVEMBER 2025  000001007u,
120,3,20251130,JE,J2456,C                   000000894p,
120,3,20251130,SC,*TOTAL,ICE CHARGES         0000024348,
120,3,20251130,SJ,TOTAL*,NAL                 0018185209,
120,3,20251231,CR,TOTAL*,PTS JOURNAL         001644413p,
120,3,20251231,JE,J2460,FOR DECEMBER 2025  000016316u,
120,3,20251231,SC,*TOTAL,ICE CHARGES         0000022231,
120,3,20251231,SJ,TOTAL*,NAL                 0006625785,
120,3,20260131,CR,TOTAL*,PTS JOURNAL         000636319w,
120,3,20260131,SC,*TOTAL,ICE CHARGES         0000017973,
120,3,20260131,SJ,TOTAL*,NAL                 0001578135,
120,3,20260228,CR,TOTAL*,PTS JOURNAL         000387894p,
120,3,20260228,SJ,TOTAL*,NAL                 0006843505,
125,3,20250228,,,RWARD               0000599200,
125,3,20250531,CR,250512,ANADA               000059920p,
125,3,20260131,CR,260106,BON REBATE          000014700p,
