PART|DESCRIPTION|CLASS|COST|MTRL|METL-HI|METL-LO|G     RUP|GOLD-GR|GOLD-$|STER-GR|STER-$
.015           |.015 DIAMOND            |RM|    6.06|    6.06|STO|NE| |  0.000|    0.00|  0.000|   0.00
.02            |.02 DIAMOND             |RM|    8.57|    8.57|STO|NE| |  0.000|    0.00|  0.000|   0.00
.03            |.03 DIAMOND             |RM|   12.75|   12.75|STO|NE| |  0.000|    0.00|  0.000|   0.00
.06            |.06 DIAMOND             |RM|   37.34|   37.34|STO|NE| |  0.000|    0.00|  0.000|   0.00
.07            |.07 DIAMOND             |RM|    0.00|    0.00|STO|NE| |  0.000|    0.00|  0.000|   0.00
.08            |.08 REGULAR DIAMONDS    |RM|   49.04|   49.04|STO|NE| |  0.000|    0.00|  0.000|   0.00
.10            |.10 DIAMOND             |RM|   73.04|   73.04|STO|NE| |  0.000|    0.00|  0.000|   0.00
.12            |.12 DIAMOND             |RM|   81.15|   81.15|STO|NE| |  0.000|    0.00|  0.000|   0.00
.15            |.15 DIAMOND FOR ENG.RING|RM|  190.00|  190.00|STO|NE| |  0.000|    0.00|  0.000|   0.00
.16            |.16 DIAMOND             |RM|  113.07|  113.07|STO|NE| |  0.000|    0.00|  0.000|   0.00
.18            |.18 DIAMOND             |RM|  230.00|  230.00|STO|NE| |  0.000|    0.00|  0.000|   0.00
.25            |.25 DIA.SI-ONE,COLOUR H.|RM|  357.87|  357.87|STO|NE| |  0.000|    0.00|  0.000|   0.00
.41            |.41 RBC DIAMOND         |RM|  962.95|  962.95|STO|NE| |  0.000|    0.00|  0.000|   0.00
0.18           |0.18 DIAMOND            |RM|  185.25|  185.25|STO|NE| |  0.000|    0.00|  0.000|   0.00
1.50           |1.50 LAB CREATED DIAMOND|RM|  939.17|  939.17|STO|NE| |  0.000|    0.00|  0.000|   0.00
10K-1.24WIRE   |1.24MM 10K WIRE         |RM|   90.48|    0.00|10K|  | |  1.000|   90.48|  0.000|   0.00
10K-2.03X0.76  |10K FLAT STOCK          |RM|   90.48|    0.00|10K|  | |  1.000|   90.48|  0.000|   0.00
10K-6.0X0.75   |10K TIE BAR STOCK       |RM|   90.48|    0.00|10K|  | |  1.000|   90.48|  0.000|   0.00
10K-BUTTERFLY  |10K BUTTERFLY BACK PIECE|RM|    5.18|    5.18|   |  | |  0.000|    0.00|  0.000|   0.00
10K-EAR.BALL   |10K EARRING BALL & LOOP |RM|    1.54|    1.54|   |  | |  0.000|    0.00|  0.000|   0.00
10K-LINKS      |10K PAIR CUFFLINK BACKS |RM|   36.00|   36.00|   |  | |  0.000|    0.00|  0.000|   0.00
10K-RIBBON     |10KT GOLD RIBBON        |RM|    0.06|    0.06|   |  | |  0.000|    0.00|  0.000|   0.00
10K.SCRAP      |10K SCRAP               |WP|   90.48|    0.00|10K|  |S|  1.000|   90.48|  0.000|   0.00
10K10F-30B     |30CM BULK CHAIN         |RM|    5.21|    5.21|   |  | |  0.000|    0.00|  0.000|   0.00
10K10F-40      |40CM FINISHED CHAIN     |RM|    8.01|    8.01|   |  | |  0.000|    0.00|  0.000|   0.00
10K10F-45      |45CM FINISHED CHAIN     |RM|   14.19|   14.19|   |  | |  0.000|    0.00|  0.000|   0.00
10K10F-50      |10K 50CM FINISHED CHAIN |RM|   15.80|   15.80|   |  | |  0.000|    0.00|  0.000|   0.00
10K11R-30B     |30CM BULK CHAIN         |RM|   44.97|   44.97|   |  | |  0.000|    0.00|  0.000|   0.00
10K11R-45      |10K FINISHED CHAIN 45CM |RM|   15.95|   15.95|   |  | |  0.000|    0.00|  0.000|   0.00
10K11R-50      |10K CHAIN 50CM          |RM|   16.95|   16.95|   |  | |  0.000|    0.00|  0.000|   0.00
10K12F-30B     |10K BULK FINISHED CHAIN |RM|   37.91|   37.91|   |  | |  0.000|    0.00|  0.000|   0.00
10K12F-45      |45CM FINISHED CHAIN     |RM|   95.00|   95.00|   |  | |  0.000|    0.00|  0.000|   0.00
10K12F-50      |50CM FINISHED CHAIN     |RM|   21.00|   21.00|   |  | |  0.000|    0.00|  0.000|   0.00
10K13R-30B     |30CM BULK CHAIN         |RM|   15.54|   15.54|   |  | |  0.000|    0.00|  0.000|   0.00
10K13R-45      |10K 13R 45CM CHAIN      |RM|   23.30|   23.30|   |  | |  0.000|    0.00|  0.000|   0.00
10K14F-30B     |BULK 30CM CHAIN         |RM|   10.75|   10.75|   |  | |  0.000|    0.00|  0.000|   0.00
10K14F-45      |45CM FINISHED CHAIN     |RM|   10.75|   10.75|   |  | |  0.000|    0.00|  0.000|   0.00
10K16F-30B     |30CM BULK CHAIN         |RM|   13.24|   13.24|   |  | |  0.000|    0.00|  0.000|   0.00
10K18F-30B     |BULK 30CM CHAIN         |RM|   18.60|   18.60|   |  | |  0.000|    0.00|  0.000|   0.00
10K20F-30B     |BULK 30CM CHAIN         |RM|   23.71|   23.71|   |  | |  0.000|    0.00|  0.000|   0.00
10K20F-45      |BULK CHAIN 45CM         |RM|   35.57|   35.57|   |  | |  0.000|    0.00|  0.000|   0.00
10K20F-50      |BULK CHAIN 50CM         |RM|   39.60|   39.60|   |  | |  0.000|    0.00|  0.000|   0.00
10K20F-55      |55CM 10K CHAIN          |RM|   43.45|   43.45|   |  | |  0.000|    0.00|  0.000|   0.00
10K20F-60      |60CM 10K CHAIN          |RM|   47.40|   47.40|   |  | |  0.000|    0.00|  0.000|   0.00
10K32F-30B     |BULK 30CM CHAIN         |RM|   97.00|   97.00|   |  | |  0.000|    0.00|  0.000|   0.00
10K9R-45       |10K WHITE CHAIN         |RM|   16.68|   16.68|   |  | |  0.000|    0.00|  0.000|   0.00
10KB-.635X.635 |10K CHARM BRACELET WIRE |RM|   90.48|    0.00|10K|  | |  1.000|   90.48|  0.000|   0.00
10KB-1         |10K GOLD BLANKS-GROUP 1 |WP|   90.48|    0.00|10K|  |1|  1.000|   90.48|  0.000|   0.00
10KB-1.02X2.29 |10K CROSS STOCK         |RM|   90.48|    0.00|10K|  | |  1.000|   90.48|  0.000|   0.00
10KB-1.52X1.52 |10K CROSS STOCK #97     |RM|   90.48|    0.00|10K|  | |  1.000|   90.48|  0.000|   0.00
10KB-1.79X0.76 |10K CROSS STOCK         |RM|   90.48|    0.00|10K|  | |  1.000|   90.48|  0.000|   0.00
10KB-1.91X1.91 |10K CROSS STOCK         |RM|   90.48|    0.00|10K|  | |  1.000|   90.48|  0.000|   0.00
10KB-2         |10K GOLD BLANKS-GROUP 2 |WP|   90.48|    0.00|10K|  |2|  1.000|   90.48|  0.000|   0.00
10KB-2.53X1.92 |10K CROSS STOCK  #108   |RM|   90.48|    0.00|10K|  | |  1.000|   90.48|  0.000|   0.00
10KB-3         |10K GOLD BLANKS-GROUP 3 |WP|   90.48|    0.00|10K|  |3|  1.000|   90.48|  0.000|   0.00
10KB-4         |10K GOLD BLANKS-GROUP 4 |WP|   90.48|    0.00|10K|  |4|  1.000|   90.48|  0.000|   0.00
10KB-5         |10K GOLD BLANKS-GROUP 5 |WP|   90.48|    0.00|10K|  |5|  1.000|   90.48|  0.000|   0.00
10KB-6         |10K GOLD BLANKS-GROUP 6 |WP|   90.48|    0.00|10K|  |6|  1.000|   90.48|  0.000|   0.00
10KB-8         |10K GOLD BLANKS GROUP 8 |WP|   90.48|    0.00|10K|  |8|  1.000|   90.48|  0.000|   0.00
10KBRAC-BOX    |BOX-CHARM BRAC CLASP    |RM|    0.00|    0.00|   |  | |  0.000|    0.00|  0.000|   0.00
10KBRAC-CATCH  |CATCH-CHARM BRAC CLASP  |RM|    0.00|    0.00|   |  | |  0.000|    0.00|  0.000|   0.00
10KBT102-30B   |BT102 CHAIN 30CM BULK   |RM|  237.00|  237.00|   |  | |  0.000|    0.00|  0.000|   0.00
10KF60-30B     |10K FIGARO F60 CHAIN-FT.|RM|   18.95|   18.95|   |  | |  0.000|    0.00|  0.000|   0.00
10KG80-30B     |10K GUCCI G80 CHAIN,FOOT|RM|   32.77|   32.77|   |  | |  0.000|    0.00|  0.000|   0.00
10KI           |10K GOLD INGOTS         |WP|   90.48|    0.00|10K|  |R|  1.000|   90.48|  0.000|   0.00
10KLOBSTER-LG  |10K LARGE LOBSTER CLASP |RM|    6.37|    6.37|   |  | |  0.000|    0.00|  0.000|   0.00
10KLOBSTER-SM  |10K SMALL LOBSTER CLASP |RM|    4.67|    4.67|   |  | |  0.000|    0.00|  0.000|   0.00
10KSIS-LG      |10K LARGE SISTER HOOK   |RM|   12.36|   12.36|   |  | |  0.000|    0.00|  0.000|   0.00
10KSIS-SM      |10K SMALL SISTER HOOK   |RM|    8.13|    8.13|   |  | |  0.000|    0.00|  0.000|   0.00
10KSR-5        |10K SPRING RING 5MM     |RM|    0.85|    0.85|   |  | |  0.000|    0.00|  0.000|   0.00
10KSR-6        |10K 6MM SPRING RING     |RM|    2.20|    2.20|   |  | |  0.000|    0.00|  0.000|   0.00
14K-3005       |14K HINGED EAR WIRE EACH|RM|    6.46|    6.46|   |  | |  0.000|    0.00|  0.000|   0.00
14K-3944       |1944 BALL EAR WIRES EACH|RM|    2.78|    2.78|   |  | |  0.000|    0.00|  0.000|   0.00
14K-BUTTERFLY  |14K BUTTERFLY PCS.      |RM|    0.93|    0.93|   |  | |  0.000|    0.00|  0.000|   0.00
14K-RIBBON     |14KT GOLD RIBBON        |RM|    0.06|    0.06|   |  | |  0.000|    0.00|  0.000|   0.00
14K.SCRAP      |14K SCRAP               |WP|  126.68|    0.00|14K|  |S|  1.000|  126.68|  0.000|   0.00
14K11R-30B     |14K BULK FINISHED CHAIN |RM|   19.32|   19.32|   |  | |  0.000|    0.00|  0.000|   0.00
14K11R-45      |45CM FINISHED CHAIN     |RM|   30.66|   30.66|   |  | |  0.000|    0.00|  0.000|   0.00
14K12F-30B     |14K BULK FINISHED CHAIN |RM|   13.69|   13.69|   |  | |  0.000|    0.00|  0.000|   0.00
14K12F-45      |45CM FINISHED CHAIN     |RM|   24.40|   24.40|   |  | |  0.000|    0.00|  0.000|   0.00
14K12F-50      |14K FINISHED CHAIN 50CM |RM|   30.90|   30.90|   |  | |  0.000|    0.00|  0.000|   0.00
14K14F-30B     |14K BULK CHAIN          |RM|   11.75|   11.75|   |  | |  0.000|    0.00|  0.000|   0.00
14K14F-45      |45CM FINISHED CHAIN     |RM|   27.85|   27.85|   |  | |  0.000|    0.00|  0.000|   0.00
14KB-1         |14K GOLD BLANKS GROUP 1 |WP|  126.68|    0.00|14K|  |1|  1.000|  126.68|  0.000|   0.00
14KB-2         |14K GOLD BLANKS-GROUP 2 |WP|  126.68|    0.00|14K|  |2|  1.000|  126.68|  0.000|   0.00
