 1T098L/14K    |14KTT 6MM BAND          | 1340.25|  827.29|   0.00|  28.00|14K|  |  6.310|  799.29|  0.000|   0.00|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|AUG 2014                      |                        |W60|2|  0.000| 1340.25|20260305|00000000
050DT/10K      |1X02 SET TIE TAC, BOXED |  160.00|   98.70|   1.20|   9.85|10K|  |  0.850|   76.90|  0.000|   0.00|   8.00|   0.00|   2.75|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|STER=39.00                    |                        |T60|8|  0.000|  160.00|20260305|00000000
050DT/10KB     |1X02 SET TIE TAC, BULK  |  158.50|   97.80|   0.55|   9.60|10K|  |  0.850|   76.90|  0.000|   0.00|   8.00|   0.00|   2.75|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|                              |                        |T60|8|  0.000|  158.50|20260305|00000000
1/GF           |LOCKET  BOXED           |   96.50|   57.54|   6.35|  15.00|STE|R |  0.000|    0.00|  8.660|  36.19|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |55|  0.00|MAT.COST-BOX                  |JUL.10+4.00 MAT COST    |N60|6|  0.000|   96.50|20260305|00000000
1/GFB          |LOCKET  ONLY            |   71.50|   42.57|  20.82|  21.25|GF |  |  0.000|    0.00|  0.120|   0.50|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |55|  0.00|OCT 2010+4.00 MAT COST        |                        |N60|6|  0.000|   71.50|20260305|00000000
1/STER         |LOCKET  BOXED           |   96.50|   57.54|   6.35|  15.00|STE|R |  0.000|    0.00|  8.660|  36.19|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |55|  0.00|                              |                        |N50|6|  0.000|   96.50|20260305|00000000
1/STERB        |LOCKET  ONLY            |   94.00|   56.01|   5.22|  14.60|STE|R |  0.000|    0.00|  8.660|  36.19|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |55|  0.00|                              |                        |N50|6|  0.000|   94.00|20260305|00000000
100/10K        |CROSS   BOXED           |  206.75|  127.52|   1.33|   9.48|10K|  |  1.290|  116.71|  0.000|   0.00|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR,BOX.   |                        |N70|8|  0.000|  206.75|20260305|00000000
100/10KB       |CROSS   ONLY            |  204.25|  125.99|   0.00|   9.28|10K|  |  1.290|  116.71|  0.000|   0.00|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR.       |                        |N70|8|  0.000|  204.25|20260305|00000000
100/14K        |CROSS   BOXED           |  321.75|  198.53|   1.33|  12.26|14K|  |  1.460|  184.94|  0.000|   0.00|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|                              |                        |N75|8|  0.000|  321.75|20260305|00000000
100/14KB       |CROSS   ONLY            |  319.25|  197.00|   0.00|  12.06|14K|  |  1.460|  184.94|  0.000|   0.00|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|                              |                        |N75|8|  0.000|  319.25|20260305|00000000
100/GF         |CROSS   BOXED           |   27.25|   16.69|   2.24|   5.80|GF |  |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|                              |                        |N90|8|  0.000|   27.25|20260305|00000000
100/GFB        |CROSS   ONLY            |   24.50|   15.12|   0.91|   5.56|GF |  |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|                              |                        |N90|8|  0.000|   24.50|20260305|00000000
100/STER       |CROSS   BOXED           |   27.25|   16.69|   2.24|   5.80|STE|R |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|    1 |      |      |    1 |      |    1 |      |      |      |      |      |      |50|  0.00|                              |                        |N80|8|  0.000|   27.25|20260305|00000000
100/STERB      |CROSS   ONLY            |   24.50|   15.12|   0.91|   5.56|STE|R |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |    1 |      |      |    1-|      |      |      |    2 |      |      |50|  0.00|                              |                        |N80|8|  0.000|   24.50|20260305|00000000
