OrderNumber,Customer,OrderDate,Source,Ring,InvoiceNumber,InvoiceDate
499434,CHM252,2025-01-08,R,N,,
499593,MAR390,2025-02-13,R,N,,
499762,SCO453,2025-03-25,R,Y,,
500048,HER241,2025-05-20,R,Y,,
500125,COU175,2025-06-02,P,Y,,
500127,COU175,2025-06-03,P,N,,
500167,COU175,2025-06-10,R,Y,,
500203,COU175,2025-06-18,R,N,,
500209,HER241,2025-06-23,R,Y,,
500210,HER241,2025-06-23,R,Y,,
500321,COU175,2025-07-23,R,Y,,
500418,HER241,2025-09-03,R,Y,,
500451,COU175,2025-09-10,P,Y,,
500585,COU175,2025-10-22,R,Y,,
500651,COU175,2025-11-07,R,Y,,
500714,HAL226,2025-11-26,M,Y,621493,2025-12-10
500715,HER241,2025-11-26,M,Y,621481,2025-12-10
500716,TAY490,2025-11-26,M,N,621489,2025-12-10
500717,WAL548,2025-11-26,P,Y,621505,2025-12-11
500718,ALT111,2025-11-27,M,Y,621508,2025-12-11
500719,ANS071,2025-11-27,M,N,621499,2025-12-10
500720,FIN185,2025-11-27,M,Y,621509,2025-12-11
500721,GOL235,2025-11-27,M,N,621514,2025-12-15
500722,HUX255,2025-11-27,P,Y,621464,2025-12-04
500723,M&R330,2025-11-27,P,Y,621515,2025-12-15
500724,MAR385,2025-11-27,P,Y,621516,2025-12-15
500725,MAR385,2025-11-27,P,Y,621516,2025-12-15
500726,NOR408,2025-11-27,M,Y,621492,2025-12-10
500727,POA409,2025-11-27,M,N,621541,2025-12-16
500728,SEA456,2025-11-27,P,Y,621469,2025-12-08
500729,TAY490,2025-11-27,M,Y,621521,2025-12-15
500730,WIL540,2025-11-27,P,Y,621544,2025-12-17
500731,HOO250,2025-12-01,P,N,621468,2025-12-08
500732,M&R330,2025-12-01,P,N,621515,2025-12-15
500733,REI410,2025-12-01,M,Y,621504,2025-12-11
500734,BRU077,2025-12-03,P,N,621517,2025-12-15
500736,COU175,2025-12-03,P,N,621692,2026-02-25
500737,CHM223,2025-12-03,M,Y,621536,2025-12-16
500738,HER241,2025-12-03,M,Y,621583,2026-01-13
500739,JEW278,2025-12-03,M,Y,621497,2025-12-10
500740,PRA510,2025-12-03,M,Y,621525,2025-12-15
500741,HER241,2025-12-03,R,Y,621542,2025-12-16
500742,BOB044,2025-12-03,M,Y,621531,2025-12-15
500743,CAI445,2025-12-03,P,Y,621512,2025-12-11
500744,HEI257,2025-12-03,M,Y,621498,2025-12-10
500745,JEW495,2025-12-03,M,Y,621529,2025-12-15
500746,JOY288,2025-12-03,M,Y,621533,2025-12-16
500747,OLD382,2025-12-03,P,N,621547,2025-12-17
500748,POM410,2025-12-03,P,N,621467,2025-12-08
500749,PRA510,2025-12-03,P,Y,621525,2025-12-15
500750,STE487,2025-12-03,P,Y,621488,2025-12-10
500751,MAR364,2025-12-03,M,Y,621548,2025-12-17
500752,CHM130,2025-12-04,M,Y,621535,2025-12-16
500753,OLD382,2025-12-04,P,Y,621547,2025-12-17
500754,JOY288,2025-12-04,R,Y,621487,2025-12-10
500755,CAI079,2025-12-04,R,Y,621718,2026-03-09
500756,TOT110,2025-12-05,R,Y,621588,2026-01-15
500757,FRA233,2025-12-05,P,Y,621530,2025-12-15
500758,BRU077,2025-12-05,P,N,621517,2025-12-15
500759,ING376,2025-12-05,P,N,621518,2025-12-15
500760,BLA053,2025-12-05,P,Y,621545,2025-12-17
500761,JEW370,2025-12-05,P,N,621558,2025-12-18
500762,CHM130,2025-12-05,M,N,621535,2025-12-16
500763,BOG150,2025-12-08,M,Y,621537,2025-12-16
500764,CAM090,2025-12-08,P,Y,621551,2025-12-17
500765,COO107,2025-12-08,P,Y,621554,2025-12-17
500766,HER241,2025-12-08,M,Y,621542,2025-12-16
500767,HUX255,2025-12-08,M,Y,621519,2025-12-15
500768,MAY359,2025-12-08,M,Y,621546,2025-12-17
