Invoice,Customer,Item,Period,TransDate,Name,Amount,Quantity,Cost,Salesman,OrderBy,Terms
591311,BAB033,,20140331,3X201403,3*BABCOCK,033000001,528000,000000000,00,00,0
591311,BAB033,SR105DB/STER,20140331,3Z201403,3*BABCOCK,033000010,700000,001000005,59,60,0
591311,BAB033,,20140331,3X201403,3*BABCOCK,033000001,050000,000000000,00,00,0
591312,BRO095,,20140331,3X201403,3*F. J. BROWN & SON,095000003,188000,000000000,00,04,0
591312,BRO095,3T18L/10KY,20140331,3Z201403,3*F. J. BROWN & SON,095000012,175000,001000007,69,84,0
591312,BRO095,5296M/STER,20140331,3Z201403,3*F. J. BROWN & SON,095000011,300000,001000006,39,44,0
591312,BRO095,,20140331,3X201403,3*F. J. BROWN & SON,095000001,050000,000000000,00,04,0
591313,BUZ076,,20140331,3X201403,3BUZZA BROS. LTD.,076000000,283000,000000000,00,00,0
591313,BUZ076,100/STERB,20140331,3Z201403,3BUZZA BROS. LTD.,076000001,925000,001000001,18,60,0
591313,BUZ076,,20140331,3X201403,3BUZZA BROS. LTD.,076000000,250000,000000000,00,00,0
591314,CHM130,,20140331,3X201403,3CHARM JEWELLERY LTD.,236000001,120000,000000000,00,00,0
591314,CHM130,S19B/STER,20140331,3Z201403,3CHARM JEWELLERY LTD.,236000005,916000,001000003,17,90,0
591314,CHM130,,20140331,3X201403,3CHARM JEWELLERY LTD.,236000001,550000,000000000,00,00,0
591315,CHM130,,20140331,3X201403,3CHARM JEWELLERY LTD.,210000001,530000,000000000,00,00,0
591315,CHM130,SR61DL/STER,20140331,3Z201403,3CHARM JEWELLERY LTD.,210000008,648000,001000004,96,80,0
591315,CHM130,,20140331,3X201403,3CHARM JEWELLERY LTD.,210000001,550000,000000000,00,00,0
591316,CHM200,,20140331,3X201403,3CHARM JEWELLERY LTD.,128000003,240000,000000000,00,02,4
591316,CHM200,CLAS.PET/10K,20140331,3Z201403,3CHARM JEWELLERY LTD.,128000020,050000,001000012,85,92,4
591316,CHM200,,20140331,3X201403,3CHARM JEWELLERY LTD.,128000001,550000,000000000,00,02,4
591317,CHM130,,20140331,3X201403,3CHARM JEWELLERY LTD.,252000014,616000,000000000,00,00,0
591317,CHM130,S14M/STER,20140331,3Z201403,3CHARM JEWELLERY LTD.,252000044,305000,005000025,47,50,0
591317,CHM130,S15L/STER,20140331,3Z201403,3CHARM JEWELLERY LTD.,252000022,023000,003000012,32,40,0
591317,CHM130,S15L/STER,20140331,3Z201403,3CHARM JEWELLERY LTD.,252000029,364000,004000016,43,20,0
591317,CHM130,,20140331,3X201403,3CHARM JEWELLERY LTD.,252000001,750000,000000000,00,00,0
591318,DUB085,,20140331,3X201403,3JMD,085000001,203000,000000000,00,00,0
591318,DUB085,CLAS.PET/STER,20140331,3Z201403,3JMD,085000008,200000,001000004,44,00,0
591318,DUB085,,20140331,3X201403,3JMD,085000001,050000,000000000,00,00,0
591319,GOL334,,20140331,3X201403,3*GOLDSIL JEWELLERS,334000002,453000,000000000,00,00,0
591319,GOL334,S301B/STER,20140331,3Z201403,3*GOLDSIL JEWELLERS,334000007,400000,001000003,94,10,0
591319,GOL334,S301B/STER,20140331,3Z201403,3*GOLDSIL JEWELLERS,334000007,400000,001000003,94,10,0
591319,GOL334,,20140331,3X201403,3*GOLDSIL JEWELLERS,334000001,550000,000000000,00,00,0
591320,CHM130,,20140331,3X201403,3CHARM JEWELLERY LTD.,201000000,971000,000000000,00,00,0
591320,CHM130,13MCLL/GF,20140331,3Z201403,3CHARM JEWELLERY LTD.,201000004,821000,001000003,12,00,0
591320,CHM130,,20140331,3X201403,3CHARM JEWELLERY LTD.,201000001,650000,000000000,00,00,0
591321,GRE170,,20140331,3X201403,3THE GREAT CANADIAN KI,170000000,658000,000000000,00,00,0
591321,GRE170,S6M/STER,20140331,3Z201403,3THE GREAT CANADIAN KI,170000011,600000,001000006,54,00,0
591321,GRE170,,20140331,3X201403,3THE GREAT CANADIAN KI,170000001,550000,000000000,00,00,0
591322,CJG130,,20140331,3X201403,3THE CANADIAN JLRY. GR,243000000,910000,000000000,00,00,0
591322,CJG130,FAMILY/ALLOY,20140331,3Z201403,3THE CANADIAN JLRY. GR,243000007,000000,002000002,94,00,0
591323,CJG130,,20140331,3X201403,3THE CANADIAN JLRY. GR,243000003,364000,000000000,00,07,2
591323,CJG130,C26/10K,20140331,3Z201403,3THE CANADIAN JLRY. GR,243000024,825000,003000015,99,67,2
591323,CJG130,,20140331,3X201403,3THE CANADIAN JLRY. GR,243000001,050000,000000000,00,07,2
591324,CJG130,,20140331,3X201403,3THE CANADIAN JLRY. GR,263000001,434000,000000000,00,03,9
591324,CJG130,3T18L/10KY,20140331,3Z201403,3THE CANADIAN JLRY. GR,263000017,675000,001000007,69,83,9
591324,CJG130,SR61DM/STER,20140331,3Z201403,3THE CANADIAN JLRY. GR,263000009,450000,001000005,21,33,9
591324,CJG130,,20140331,3X201403,3THE CANADIAN JLRY. GR,263000001,550000,000000000,00,03,9
591325,GCL721,,20140331,3X201403,3GEMALTA CO-OPERATIVE,323000000,08s000,000000000,00,00,0
591325,GCL721,,20140331,3X201403,3GEMALTA CO-OPERATIVE,323000001,65p000,000000000,00,00,0
591326,CJG130,,20140331,3X201403,3THE CANADIAN JLRY. GR,341000000,215000,000000000,00,00,0
591326,CJG130,SCHBRO1,20140331,3Z201403,3THE CANADIAN JLRY. GR,341000000,000000,001000000,00,00,0
591326,CJG130,,20140331,3X201403,3THE CANADIAN JLRY. GR,341000001,650000,000000000,00,00,0
591327,RCM135,,20140331,3X201403,3THE MOUNTIE SHOP HQ,140000002,404000,000000000,00,00,0
591327,RCM135,2134-S16M/10K,20140331,3Z201403,3THE MOUNTIE SHOP HQ,140000046,525000,001000031,11,00,0
591327,RCM135,,20140331,3X201403,3THE MOUNTIE SHOP HQ,140000001,550000,000000000,00,00,0
591328,CJG130,,20140331,3X201403,3THE CANADIAN JLRY. GR,408000004,232000,000000000,00,00,0
591328,CJG130,S17RDB/10K,20140331,3Z201403,3THE CANADIAN JLRY. GR,408000028,675000,001000018,88,60,0
591328,CJG130,,20140331,3X201403,3THE CANADIAN JLRY. GR,408000001,550000,000000000,00,00,0
591329,CJG130,,20140331,3X201403,3THE CANADIAN JLRY. GR,380000000,083000,000000000,00,00,0
591329,CJG130,SCHBRO1,20140331,3Z201403,3THE CANADIAN JLRY. GR,380000000,000000,001000000,00,00,0
591329,CJG130,,20140331,3X201403,3THE CANADIAN JLRY. GR,380000001,650000,000000000,00,00,0
591330,PAR397,,20140331,3X201403,3*PARIS JEWELLERS,397000000,178000,000000000,00,00,0
591330,PAR397,MISC-SALES,20140331,3Z201403,3*PARIS JEWELLERS,397000001,120000,028000000,00,00,0
591330,PAR397,,20140331,3X201403,3*PARIS JEWELLERS,397000000,250000,000000000,00,00,0
591331,CJG130,,20140331,3X201403,3THE CANADIAN JLRY. GR,439000004,518000,000000000,00,02,4
591331,CJG130,CLAS.LG/STER,20140331,3Z201403,3THE CANADIAN JLRY. GR,439000012,600000,001000006,54,02,4
591331,CJG130,CLAS.MD.M/STER,20140331,3Z201403,3THE CANADIAN JLRY. GR,439000011,400000,001000005,78,92,4
591331,CJG130,CLAS.PET/STER,20140331,3Z201403,3THE CANADIAN JLRY. GR,439000009,200000,001000004,44,02,4
591331,CJG130,,20140331,3X201403,3THE CANADIAN JLRY. GR,439000001,550000,000000000,00,02,4
591332,ROL442,,20140331,3X201403,3*H. DIETER ROLF,442000001,619000,000000000,00,00,0
591332,ROL442,CLAS.MD.M/STER,20140331,3Z201403,3*H. DIETER ROLF,442000011,400000,001000005,78,90,0
591332,ROL442,,20140331,3X201403,3*H. DIETER ROLF,442000001,050000,000000000,00,00,0
591333,CJG130,,20140331,3X201403,3THE CANADIAN JLRY. GR,510000000,481000,000000000,00,00,0
591333,CJG130,WEDD/ALLOY,20140331,3Z201403,3THE CANADIAN JLRY. GR,510000003,500000,001000001,95,50,0
591333,CJG130,,20140331,3X201403,3THE CANADIAN JLRY. GR,510000000,200000,000000000,00,00,0
591334,GCL720,,20140331,3X201403,3GEMALTA CO-OPERATIVE,551000001,772000,000000000,00,03,9
591334,GCL720,F134-GEN/10K,20140331,3Z201403,3GEMALTA CO-OPERATIVE,551000035,675000,001000012,92,13,9
591334,GCL720,,20140331,3X201403,3GEMALTA CO-OPERATIVE,551000001,550000,000000000,00,03,9
591334,GCL720,,20140331,3X201403,3GEMALTA CO-OPERATIVE,551000001,78t000,000000000,00,03,9
591335,SPE468,,20140331,3X201403,3*SPENCER'S STORE,468000016,552000,000000000,00,00,0
591335,SPE468,CLAS.MD.L/STER,20140331,3Z201403,3*SPENCER'S STORE,468000010,975000,001000005,53,40,0
591335,SPE468,CLAS.MD.M/STER,20140331,3Z201403,3*SPENCER'S STORE,468000011,400000,001000005,78,90,0
591335,SPE468,CLAS.MD.M/STER,20140331,3Z201403,3*SPENCER'S STORE,468000011,400000,001000005,78,90,0
591335,SPE468,CLAS.MD.M/STER,20140331,3Z201403,3*SPENCER'S STORE,468000011,400000,001000005,78,90,0
591335,SPE468,CLAS.MD.M/STER,20140331,3Z201403,3*SPENCER'S STORE,468000011,400000,001000005,78,90,0
591335,SPE468,CLAS.MD.M/STER,20140331,3Z201403,3*SPENCER'S STORE,468000011,400000,001000005,78,90,0
591335,SPE468,CLAS.MD.M/STER,20140331,3Z201403,3*SPENCER'S STORE,468000011,400000,001000005,78,90,0
591335,SPE468,CLAS.SM/STER,20140331,3Z201403,3*SPENCER'S STORE,468000009,300000,001000004,50,30,0
591335,SPE468,SR93B/STER,20140331,3Z201403,3*SPENCER'S STORE,468000008,475000,001000004,61,30,0
591335,SPE468,SR93B/STER,20140331,3Z201403,3*SPENCER'S STORE,468000008,475000,001000004,61,30,0
591335,SPE468,SR97B/10K,20140331,3Z201403,3*SPENCER'S STORE,468000020,050000,001000012,88,30,0
591335,SPE468,,20140331,3X201403,3*SPENCER'S STORE,468000001,650000,000000000,00,00,0
591336,BEL061,,20140331,4X201403,4*BELK'S JEWELLERS,061000003,920000,000000000,00,00,0
591336,BEL061,6T00RM/10KW,20140331,4Z201403,4*BELK'S JEWELLERS,061000026,600000,001000017,73,00,0
591336,BEL061,REPAIRS,20140331,4Z201403,4*BELK'S JEWELLERS,061000002,500000,001000000,00,00,0
591336,BEL061,,20140331,4X201403,4*BELK'S JEWELLERS,061000001,050000,000000000,00,00,0
591337,CHM130,,20140331,4X201403,4CHARM JEWELLERY LTD.,241000000,329000,000000000,00,00,0
591337,CHM130,230-440TT/STER,20140331,4Z201403,4CHARM JEWELLERY LTD.,241000001,378000,001000000,88,70,0
591337,CHM130,,20140331,4X201403,4CHARM JEWELLERY LTD.,241000001,150000,000000000,00,00,0
591338,CJG130,,20140331,4X201403,4THE CANADIAN JLRY. GR,120000000,078000,000000000,00,00,0
591338,CJG130,,20140331,4X201403,4THE CANADIAN JLRY. GR,120000001,550000,000000000,00,00,0
591339,GCL720,,20140331,4X201403,4GEMALTA CO-OPERATIVE,159000000,903000,000000000,00,03,9
591339,GCL720,SR55B/10K,20140331,4Z201403,4GEMALTA CO-OPERATIVE,159000017,375000,001000010,98,13,9
591339,GCL720,,20140331,4X201403,4GEMALTA CO-OPERATIVE,159000001,550000,000000000,00,03,9
591339,GCL720,,20140331,4X201403,4GEMALTA CO-OPERATIVE,159000000,86y000,000000000,00,03,9
591340,FAC120,,20140331,4X201403,4*FACETS GIFTS,120000002,477000,000000000,00,04,0
591340,FAC120,CJ3077BAND/STER,20140331,4Z201403,4*FACETS GIFTS,120000018,000000,002000011,69,44,0
591340,FAC120,,20140331,4X201403,4*FACETS GIFTS,120000001,050000,000000000,00,04,0
591340,FAC120,,20140331,4X201403,4*FACETS GIFTS,120000000,000000,000000000,00,04,0
591340,FAC120,,20140331,4X201403,4*FACETS GIFTS,120000000,000000,000000000,00,04,0
