product_id,product_name,category,subcategory,series,style,pattern,has_images,image_files,has_pdf_page,pdf_file,base_price
12,10K Cross,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
26,10K Cross,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
30,10K Cross,crosses,10k_crosses,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/30.png,1,page_23A.pdf,NULL
33,10K Cross,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
34,10K Cross,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
35,10K Cross,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
38,10K Cross,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23b.pdf,NULL
45,10K Cross,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23b.pdf,NULL
50,10K Cross,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23b.pdf,NULL
51,10K Cross,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23b.pdf,NULL
93,10K Cross,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
97,10K Cross,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
100,10K Cross,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
102,10K Cross,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23b.pdf,NULL
104,10K Cross,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
106,10K Cross,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
108N,10K Cross,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23b.pdf,NULL
43CD,10K Cross Cubic Diamond,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23b.pdf,NULL
33C,10K Cross Cubic Zirconia,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
34C,10K Cross Cubic Zirconia,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
35C,10K Cross Cubic Zirconia,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
36C,10K Cross Cubic Zirconia,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23b.pdf,NULL
38C,10K Cross Cubic Zirconia,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23b.pdf,NULL
52C,10K Cross Cubic Zirconia,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23b.pdf,NULL
93C,10K Cross Cubic Zirconia,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
107C,10K Cross Cubic Zirconia,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23b.pdf,NULL
108C,10K Cross Cubic Zirconia,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23b.pdf,NULL
12D,10K Cross Diamond,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
26D,10K Cross Diamond,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
51D,10K Cross Diamond,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23b.pdf,NULL
97D,10K Cross Diamond,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
100D,10K Cross Diamond,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
104D,10K Cross Diamond,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23b.pdf,NULL
106D,10K Cross Diamond,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23b.pdf,NULL
12E,10K Cross Engraved,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
26E,10K Cross Engraved,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
33E,10K Cross Engraved,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
97E,10K Cross Engraved,crosses,10k_crosses,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/97E.png,1,page_23A.pdf,NULL
100E,10K Cross Engraved,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
102E,10K Cross Engraved,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
104E,10K Cross Engraved,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23b.pdf,NULL
106E,10K Cross Engraved,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23b.pdf,NULL
38P,10K Cross Polished,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23b.pdf,NULL
51P,10K Cross Polished,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23b.pdf,NULL
51PD,10K Cross Polished Diamond,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23b.pdf,NULL
101S,10K Cross Small,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_23A.pdf,NULL
CH14,Celtic Band,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Pendant_earrings/CH14.png,0,celtic.pdf,NULL
105,Cross,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_18a.pdf,NULL
111,Cross,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_18a.pdf,NULL
113,Cross,crosses,10k_crosses,NULL,NULL,NULL,0,no images found,1,page_18a.pdf,NULL
29U,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/29U.png,0,page_17a.pdf,NULL
3NB,Jewelry Item,crosses,NULL,NULL,NULL,NULL,1,accessories_php/thumbs/images/Crosses_and_Lockets/3NB.png,0,page_17a.pdf,NULL
