product_id,category,candidate_rank,match_tier,confidence,score,candidate_norm_key,candidate_alnum_key,candidate_path,candidate_source,candidate_group,candidate_ext
100D,crosses,1,fuzzy,low,40,70ND,70ND,accessories_php/images/Crosses_and_Lockets/70ND.png,images,crosses_lockets,png
104D,crosses,1,fuzzy,low,40,70ND,70ND,accessories_php/images/Crosses_and_Lockets/70ND.png,images,crosses_lockets,png
105A,crosses,1,fuzzy,low,48,10TGA,10TGA,accessories_php/images/Crosses_and_Lockets/10TGA.png,images,crosses_lockets,png
106D,crosses,1,fuzzy,low,40,70ND,70ND,accessories_php/images/Crosses_and_Lockets/70ND.png,images,crosses_lockets,png
111B,crosses,1,fuzzy,low,40,41NB,41NB,accessories_php/images/Crosses_and_Lockets/41NB.png,images,crosses_lockets,png
113B,crosses,1,fuzzy,low,40,41NB,41NB,accessories_php/images/Crosses_and_Lockets/41NB.png,images,crosses_lockets,png
12D,crosses,1,fuzzy,low,40,41ND,41ND,accessories_php/images/Crosses_and_Lockets/41ND.png,images,crosses_lockets,png
12D,crosses,2,fuzzy,low,27,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,crosses_lockets,png
12D,crosses,3,fuzzy,low,27,5ND,5ND,accessories_php/images/Crosses_and_Lockets/5ND.png,images,crosses_lockets,png
12D,crosses,4,fuzzy,low,27,20,20,accessories_php/images/Crosses_and_Lockets/20.png,images,crosses_lockets,png
12D,crosses,5,fuzzy,low,27,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,crosses_lockets,png
12E,crosses,1,fuzzy,low,27,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,crosses_lockets,png
12E,crosses,2,fuzzy,low,27,20,20,accessories_php/images/Crosses_and_Lockets/20.png,images,crosses_lockets,png
12E,crosses,3,fuzzy,low,27,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,crosses_lockets,png
12E,crosses,4,fuzzy,low,27,97E,97E,accessories_php/images/Crosses_and_Lockets/97E.png,images,crosses_lockets,png
12E,crosses,5,fuzzy,low,27,L27,L27,accessories_php/images/Crosses_and_Lockets/L27.png,images,crosses_lockets,png
26D,crosses,1,fuzzy,low,27,5ND,5ND,accessories_php/images/Crosses_and_Lockets/5ND.png,images,crosses_lockets,png
26D,crosses,2,fuzzy,low,27,20,20,accessories_php/images/Crosses_and_Lockets/20.png,images,crosses_lockets,png
26D,crosses,3,fuzzy,low,27,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,crosses_lockets,png
26D,crosses,4,fuzzy,low,27,8ND,8ND,accessories_php/images/Crosses_and_Lockets/8ND.png,images,crosses_lockets,png
26D,crosses,5,fuzzy,low,27,29U,29U,accessories_php/images/Crosses_and_Lockets/29U.png,images,crosses_lockets,png
