product_id,product_name,old_subcategory,image_files,matched_folders,new_subcategory,action
"br85-3 ","Jewelry Item",,"family_php/thumbs/images/Mother/br85-3 .jpg",Mother,family,set_family
F1379,"Jewelry Item",,family_php/thumbs/images/Mother/F1379.png,Mother,family,set_family
F138,"Jewelry Item",,family_php/thumbs/images/Mother/F138.png,Mother,family,set_family
F140,"Jewelry Item",,family_php/thumbs/images/Mother/F140.png,Mother,family,set_family
F2518,"Jewelry Item",,family_php/thumbs/images/Mother/F2518.png,Mother,family,set_family
F2519,"Jewelry Item",,family_php/thumbs/images/Mother/F2519.png,Mother,family,set_family
F2520,,,,Mother,family,set_family
F2524,"Jewelry Item",,family_php/thumbs/images/Mother/F2524.png,Mother,family,set_family
F2530,,,,Mother,family,set_family
F2531,"Jewelry Item",,family_php/thumbs/images/Mother/F2531.png,Mother,family,set_family
F2532,"Jewelry Item",,family_php/thumbs/images/Mother/F2532.png,Mother,family,set_family
F2540,"Jewelry Item",,family_php/thumbs/images/Mother/F2540.png,Mother,family,set_family
F2547,,,,Mother,family,set_family
F2552,"Jewelry Item",,family_php/thumbs/images/Mother/F2552.png,Mother,family,set_family
F2554,"Jewelry Item",,family_php/thumbs/images/Mother/F2554.png,Mother,family,set_family
F2556,,,,Mother,family,set_family
F2560,"Jewelry Item",,family_php/thumbs/images/Mother/F2560.png,Mother,family,set_family
F2579,"Jewelry Item",,family_php/images/Mother/F2579.png,Mother,family,set_family
F2584,"Jewelry Item",,family_php/thumbs/images/Mother/F2584.png,Mother,family,set_family
F2585,"Jewelry Item",,family_php/thumbs/images/Mother/F2585.png,Mother,family,set_family
F2591,"Jewelry Item",,family_php/thumbs/images/Mother/F2591.png,Mother,family,set_family
F2593,"Jewelry Item",,family_php/thumbs/images/Mother/F2593.png,Mother,family,set_family
F2594,"Jewelry Item",,family_php/images/Mother/F2594.jpg,Mother,family,set_family
F2595,"Jewelry Item",,family_php/thumbs/images/Mother/F2595.png,Mother,family,set_family
F5t90,"Jewelry Item",,family_php/thumbs/images/Mother/F5t90.png,Mother,family,set_family
FP91,"Jewelry Item",,family_php/thumbs/images/Mother/FP91.png,Mother,family,set_family
FP93,"Jewelry Item",,family_php/thumbs/images/Mother/FP93.png,Mother,family,set_family
FPHH,"Jewelry Item",,family_php/thumbs/images/Mother/FPHH.png,Mother,family,set_family
