product_id,old_subcategory,image_files,matched_folders,new_subcategory
2274R,,family_php/thumbs/images/Daughter/2274R.png,Daughter,mother_daughter
"br85-3 ",,"family_php/thumbs/images/Mother/br85-3 .jpg",Mother,mother_daughter
F1379,,family_php/thumbs/images/Mother/F1379.png,Mother,mother_daughter
F138,,family_php/thumbs/images/Mother/F138.png,Mother,mother_daughter
F140,,family_php/thumbs/images/Mother/F140.png,Mother,mother_daughter
F2518,,family_php/thumbs/images/Mother/F2518.png,Mother,mother_daughter
F2519,,family_php/thumbs/images/Mother/F2519.png,Mother,mother_daughter
F2520,,,Mother,mother_daughter
F2524,,family_php/thumbs/images/Mother/F2524.png,Mother,mother_daughter
F2530,,,Mother,mother_daughter
F2531,,family_php/thumbs/images/Mother/F2531.png,Mother,mother_daughter
F2532,,family_php/thumbs/images/Mother/F2532.png,Mother,mother_daughter
F2538,,family_php/thumbs/images/Daughter/F2538.png,Daughter,mother_daughter
F2540,,family_php/thumbs/images/Mother/F2540.png,Mother,mother_daughter
F2547,,,Mother,mother_daughter
F2552,,family_php/thumbs/images/Mother/F2552.png,Mother,mother_daughter
F2554,,family_php/thumbs/images/Mother/F2554.png,Mother,mother_daughter
F2556,,,Mother,mother_daughter
F2560,,family_php/thumbs/images/Mother/F2560.png,Mother,mother_daughter
F2575,,family_php/thumbs/images/Daughter/F2575.png,Daughter,mother_daughter
F2579,,family_php/images/Mother/F2579.png,Mother,mother_daughter
F2584,,family_php/thumbs/images/Mother/F2584.png,Mother,mother_daughter
F2585,,family_php/thumbs/images/Mother/F2585.png,Mother,mother_daughter
F2591,,family_php/thumbs/images/Mother/F2591.png,Mother,mother_daughter
F2593,,family_php/thumbs/images/Mother/F2593.png,Mother,mother_daughter
F2594,,family_php/images/Mother/F2594.jpg,Mother,mother_daughter
F2595,,family_php/thumbs/images/Mother/F2595.png,Mother,mother_daughter
F400T,,family_php/thumbs/images/Daughter/F400T.png,"Mother,Daughter",mother_daughter
F5t90,,family_php/thumbs/images/Mother/F5t90.png,Mother,mother_daughter
FP91,,family_php/thumbs/images/Mother/FP91.png,Mother,mother_daughter
FP93,,family_php/thumbs/images/Mother/FP93.png,Mother,mother_daughter
FPHH,,family_php/thumbs/images/Mother/FPHH.png,Mother,mother_daughter
FPR,,family_php/thumbs/images/Mother/FPR.png,Mother,mother_daughter
